76.979,47.576,1
67.372,42.838,0
52.348,60.77,0
89.677,65.799,1
55.482,35.571,0
88.914,69.804,1
34.525,60.396,0
60.183,86.309,1
80.19,44.822,1
60.458,73.095,1
32.577,95.599,0
77.193,70.458,1
85.405,57.052,1
75.478,90.425,1
74.249,69.825,1
33.916,98.869,0
62.223,52.061,0
74.789,41.573,0
34.184,75.238,0
38.786,64.996,0
51.548,46.856,0
83.902,56.308,1
74.776,89.53,1
61.107,96.511,1
90.449,87.509,1
32.723,43.307,0
75.025,46.554,1
34.624,78.025,0
45.083,56.316,0
50.286,49.805,0
35.286,47.021,0
57.239,59.514,1
49.073,51.883,0
55.34,64.932,1
30.287,43.895,0
84.433,43.533,1
90.547,43.391,1
52.045,69.433,1
56.254,39.261,0
76.099,87.421,1
77.924,68.972,1
89.846,45.358,1
82.369,40.618,0
78.635,96.647,1
68.469,85.594,1
93.114,38.801,0
97.772,86.728,1
94.443,65.569,1
80.367,90.96,1
42.075,78.845,0
54.635,52.214,0
94.094,77.159,1
66.747,60.991,1
34.212,44.21,0
91.565,88.696,1
53.971,89.207,1
99.273,60.999,1
64.039,78.032,1
64.177,80.908,1
40.237,71.168,0
99.828,72.369,1
79.033,75.344,1
80.28,92.116,1
47.264,88.476,1
62.271,69.954,1
39.538,76.037,0
61.379,72.808,1
42.262,87.104,1
52.108,63.128,0
50.458,75.81,1
66.561,41.092,0
44.668,66.45,0
35.847,72.902,0
69.365,97.719,1
60.456,42.508,0
62.073,96.769,1
69.07,52.74,1
30.059,49.593,0
82.227,42.72,0
67.319,66.589,1
71.796,78.454,1
74.493,84.845,1
97.646,68.862,1
72.346,96.228,1
67.947,46.679,0
75.014,30.603,0
49.587,59.809,0
82.307,76.482,1
40.458,97.535,1
95.862,38.225,0
83.489,48.38,1
61.83,50.256,0
51.048,45.823,0
50.535,48.856,0
79.945,74.163,1
70.662,92.927,1
99.315,68.775,1
58.841,75.858,1
94.835,45.694,1
75.396,85.76,1
